applicant_id,cv_text,vacancy_family,sex,age_group,nationality,shortlist
A0309,depot supervisor with 5 years of experience. route planning. inventory cycle counts. pallet handling. warehouse management system. hazmat handling certificate. forklift licence. basic first aid certificate. driving licence class b.,logistics,male,30-44,non-EU,1
A0310,office administrator with 2 years of experience. organised team events. basic first aid certificate. team player with strong communication skills. fluent in german and english.,office,male,30-44,non-EU,0
A0311,warehouse operative with 3 years of experience. shift supervision. pallet handling. team player with strong communication skills. organised team events. fluent in german and english.,logistics,male,30-44,non-EU,0
A0312,warehouse operative with 7 years of experience. route planning. pallet handling. warehouse management system. shift supervision. hazmat handling certificate. forklift licence. attended internal trainings. responsible for onboarding new colleagues.,logistics,male,45-60,DE,1
A0313,depot supervisor with 2 years of experience. team player with strong communication skills. basic first aid certificate.,logistics,male,30-44,EU,1
A0314,bi analyst with 12 years of experience. a b testing. power bi dashboards. sql reporting. data cleaning pandas. excel modelling. etl workflows. statistical analysis. worked in agile teams. responsible for onboarding new colleagues. basic first aid certificate.,data,female,30-44,EU,0
A0315,office administrator with 2 years of experience. invoice processing. german and english correspondence. attended internal trainings. responsible for onboarding new colleagues. organised team events.,office,diverse,18-29,DE,0
A0316,logistics coordinator with 3 years of experience. forklift licence. warehouse management system. worked in agile teams. available at short notice. fluent in german and english.,logistics,male,45-60,non-EU,0
A0317,back office clerk with 3 years of experience. worked in agile teams. team player with strong communication skills. responsible for onboarding new colleagues.,office,male,18-29,EU,0
A0318,warehouse operative with 7 years of experience. warehouse management system. forklift licence. pallet handling. inventory cycle counts. hazmat handling certificate. route planning. volunteer experience in local club. worked in agile teams. fluent in german and english.,logistics,female,18-29,non-EU,1
A0319,bi analyst with 13 years of experience. stakeholder presentations. excel modelling. sql reporting. data cleaning pandas. power bi dashboards. etl workflows. a b testing. attended internal trainings. worked in agile teams. available at short notice.,data,female,45-60,EU,0
