applicant_id,cv_text,vacancy_family,sex,age_group,nationality,shortlist
A0014,team assistant with 8 years of experience. front desk reception. travel booking. german and english correspondence. ms office suite. minute taking. invoice processing. crm data entry. worked in agile teams. attended internal trainings. organised team events. responsible for onboarding new colleagues.,office,female,30-44,DE,1
A0015,warehouse operative with 3 years of experience. shift supervision. warehouse management system. organised team events. fluent in german and english.,logistics,female,30-44,EU,0
A0016,back office clerk with 11 years of experience. invoice processing. front desk reception. german and english correspondence. minute taking. crm data entry. travel booking. worked in agile teams. organised team events.,office,diverse,45-60,DE,1
A0017,back office clerk with 13 years of experience. travel booking. calendar management. german and english correspondence. ms office suite. minute taking. crm data entry. front desk reception. team player with strong communication skills. attended internal trainings. responsible for onboarding new colleagues. fluent in german and english.,office,male,30-44,DE,0
A0018,depot supervisor with 14 years of experience. loading dock coordination. route planning. inventory cycle counts. warehouse management system. forklift licence. shift supervision. pallet handling. driving licence class b. basic first aid certificate. team player with strong communication skills. organised team events.,logistics,female,30-44,EU,1
A0019,bi analyst with 9 years of experience. a b testing. etl workflows. sql reporting. statistical analysis. data cleaning pandas. power bi dashboards. excel modelling. available at short notice. driving licence class b. worked in agile teams. team player with strong communication skills.,data,male,45-60,DE,0
A0020,backend engineer with 15 years of experience. python development. docker containers. unit testing. sql databases. code review practices. cloud deployment aws. basic first aid certificate. responsible for onboarding new colleagues. organised team events. team player with strong communication skills.,software,female,18-29,EU,1
A0021,bi analyst with 12 years of experience. power bi dashboards. statistical analysis. data cleaning pandas. excel modelling. a b testing. sql reporting. basic first aid certificate. driving licence class b. worked in agile teams.,data,diverse,30-44,non-EU,1
A0022,warehouse operative with 1 years of experience. basic first aid certificate. attended internal trainings.,logistics,diverse,45-60,DE,0
A0023,team assistant with 0 years of experience. calendar management. german and english correspondence. available at short notice. attended internal trainings. organised team events.,office,diverse,30-44,non-EU,0
A0024,logistics coordinator with 12 years of experience. forklift licence. loading dock coordination. shift supervision. route planning. warehouse management system. pallet handling. hazmat handling certificate. organised team events. driving licence class b. basic first aid certificate. volunteer experience in local club.,logistics,male,30-44,EU,0
A0025,warehouse operative with 14 years of experience. forklift licence. warehouse management system. loading dock coordination. shift supervision. inventory cycle counts. basic first aid certificate. volunteer experience in local club.,logistics,diverse,18-29,DE,1
A0026,software developer with 1 years of experience. docker containers. attended internal trainings. worked in agile teams.,software,female,18-29,non-EU,1
A0027,back office clerk with 11 years of experience. crm data entry. travel booking. invoice processing. minute taking. german and english correspondence. calendar management. ms office suite. basic first aid certificate. worked in agile teams. volunteer experience in local club.,office,diverse,45-60,DE,1
A0028,devops engineer with 9 years of experience. unit testing. ci cd pipelines. rest api design. code review practices. cloud deployment aws. sql databases. docker containers. responsible for onboarding new colleagues. driving licence class b.,software,male,30-44,EU,1
A0029,warehouse operative with 3 years of experience. fluent in german and english. worked in agile teams. volunteer experience in local club.,logistics,male,30-44,non-EU,0
A0030,office administrator with 0 years of experience. crm data entry. fluent in german and english. volunteer experience in local club.,office,male,45-60,EU,0
A0031,logistics coordinator with 4 years of experience. hazmat handling certificate. shift supervision. route planning. pallet handling. loading dock coordination. inventory cycle counts. responsible for onboarding new colleagues. basic first aid certificate. driving licence class b. volunteer experience in local club.,logistics,diverse,18-29,non-EU,1
A0032,software developer with 0 years of experience. team player with strong communication skills. responsible for onboarding new colleagues. basic first aid certificate.,software,diverse,30-44,non-EU,0
A0033,reporting specialist with 6 years of experience. power bi dashboards. stakeholder presentations. a b testing. excel modelling. data cleaning pandas. responsible for onboarding new colleagues. team player with strong communication skills. available at short notice. volunteer experience in local club.,data,female,45-60,non-EU,1
A0034,team assistant with 7 years of experience. minute taking. ms office suite. german and english correspondence. front desk reception. travel booking. team player with strong communication skills. responsible for onboarding new colleagues. fluent in german and english. basic first aid certificate.,office,diverse,45-60,non-EU,1
A0035,logistics coordinator with 13 years of experience. shift supervision. pallet handling. forklift licence. loading dock coordination. hazmat handling certificate. inventory cycle counts. fluent in german and english. team player with strong communication skills. organised team events. responsible for onboarding new colleagues.,logistics,female,45-60,EU,1
A0036,data analyst with 11 years of experience. statistical analysis. stakeholder presentations. etl workflows. sql reporting. power bi dashboards. excel modelling. fluent in german and english. organised team events. volunteer experience in local club. driving licence class b.,data,male,30-44,non-EU,1
A0037,team assistant with 15 years of experience. front desk reception. crm data entry. invoice processing. travel booking. ms office suite. calendar management. worked in agile teams. organised team events. responsible for onboarding new colleagues.,office,diverse,30-44,EU,1
A0038,warehouse operative with 14 years of experience. loading dock coordination. pallet handling. inventory cycle counts. forklift licence. hazmat handling certificate. route planning. shift supervision. volunteer experience in local club. team player with strong communication skills. organised team events.,logistics,male,30-44,DE,1
A0039,back office clerk with 6 years of experience. calendar management. minute taking. front desk reception. ms office suite. travel booking. crm data entry. responsible for onboarding new colleagues. basic first aid certificate.,office,male,18-29,EU,1
A0040,reporting specialist with 1 years of experience. excel modelling. available at short notice. worked in agile teams. driving licence class b. volunteer experience in local club.,data,diverse,18-29,EU,0
A0041,depot supervisor with 11 years of experience. hazmat handling certificate. route planning. warehouse management system. inventory cycle counts. shift supervision. responsible for onboarding new colleagues. basic first aid certificate.,logistics,diverse,18-29,DE,1
A0042,back office clerk with 2 years of experience. german and english correspondence. invoice processing. basic first aid certificate. fluent in german and english. organised team events. attended internal trainings.,office,male,45-60,non-EU,0
A0043,office administrator with 15 years of experience. front desk reception. crm data entry. invoice processing. travel booking. calendar management. responsible for onboarding new colleagues. worked in agile teams. attended internal trainings.,office,female,30-44,DE,1
A0044,reporting specialist with 11 years of experience. statistical analysis. power bi dashboards. etl workflows. a b testing. excel modelling. worked in agile teams. basic first aid certificate. driving licence class b.,data,male,45-60,EU,1
A0045,bi analyst with 2 years of experience. statistical analysis. a b testing. basic first aid certificate. team player with strong communication skills. organised team events.,data,female,18-29,EU,0
A0046,backend engineer with 1 years of experience. sql databases. fluent in german and english. basic first aid certificate. responsible for onboarding new colleagues.,software,diverse,45-60,DE,0
A0047,bi analyst with 6 years of experience. a b testing. excel modelling. statistical analysis. sql reporting. etl workflows. data cleaning pandas. power bi dashboards. responsible for onboarding new colleagues. worked in agile teams.,data,female,18-29,DE,1
A0048,reporting specialist with 7 years of experience. etl workflows. statistical analysis. power bi dashboards. a b testing. stakeholder presentations. basic first aid certificate. organised team events.,data,diverse,18-29,non-EU,1
A0049,warehouse operative with 2 years of experience. loading dock coordination. inventory cycle counts. volunteer experience in local club. team player with strong communication skills. worked in agile teams.,logistics,male,30-44,EU,1
A0050,warehouse operative with 2 years of experience. hazmat handling certificate. warehouse management system. driving licence class b. basic first aid certificate. responsible for onboarding new colleagues. organised team events.,logistics,female,30-44,EU,0
A0051,office administrator with 0 years of experience. minute taking. responsible for onboarding new colleagues. volunteer experience in local club. organised team events. driving licence class b.,office,female,45-60,non-EU,0
A0052,bi analyst with 1 years of experience. excel modelling. sql reporting. organised team events. worked in agile teams. attended internal trainings.,data,diverse,30-44,DE,0
A0053,data analyst with 1 years of experience. a b testing. team player with strong communication skills. worked in agile teams.,data,female,30-44,non-EU,0
A0054,team assistant with 5 years of experience. invoice processing. front desk reception. travel booking. german and english correspondence. crm data entry. organised team events. team player with strong communication skills. volunteer experience in local club.,office,diverse,45-60,non-EU,1
A0055,team assistant with 2 years of experience. ms office suite. responsible for onboarding new colleagues. available at short notice. driving licence class b. basic first aid certificate.,office,male,18-29,DE,0
A0056,back office clerk with 11 years of experience. minute taking. crm data entry. invoice processing. travel booking. calendar management. ms office suite. responsible for onboarding new colleagues. basic first aid certificate.,office,diverse,45-60,non-EU,1
A0057,back office clerk with 1 years of experience. minute taking. driving licence class b. worked in agile teams. volunteer experience in local club. available at short notice.,office,diverse,30-44,DE,0
A0058,data analyst with 12 years of experience. statistical analysis. power bi dashboards. data cleaning pandas. stakeholder presentations. etl workflows. sql reporting. a b testing. available at short notice. worked in agile teams. attended internal trainings. driving licence class b.,data,male,45-60,non-EU,1
A0059,logistics coordinator with 7 years of experience. route planning. hazmat handling certificate. pallet handling. warehouse management system. shift supervision. attended internal trainings. available at short notice. responsible for onboarding new colleagues. worked in agile teams.,logistics,male,30-44,non-EU,1
A0060,bi analyst with 6 years of experience. sql reporting. etl workflows. data cleaning pandas. excel modelling. power bi dashboards. a b testing. statistical analysis. basic first aid certificate. responsible for onboarding new colleagues.,data,female,45-60,non-EU,1
A0061,data analyst with 0 years of experience. volunteer experience in local club. basic first aid certificate.,data,diverse,45-60,EU,0
A0062,devops engineer with 13 years of experience. sql databases. unit testing. docker containers. code review practices. cloud deployment aws. ci cd pipelines. volunteer experience in local club. basic first aid certificate.,software,male,30-44,EU,1
A0063,backend engineer with 0 years of experience. volunteer experience in local club. team player with strong communication skills.,software,diverse,18-29,DE,0
A0064,backend engineer with 12 years of experience. python development. unit testing. rest api design. code review practices. sql databases. basic first aid certificate. responsible for onboarding new colleagues. attended internal trainings. driving licence class b.,software,female,30-44,non-EU,1
A0065,team assistant with 1 years of experience. travel booking. attended internal trainings. worked in agile teams. fluent in german and english.,office,female,30-44,non-EU,0
A0066,office administrator with 4 years of experience. ms office suite. travel booking. front desk reception. crm data entry. minute taking. invoice processing. german and english correspondence. driving licence class b. volunteer experience in local club. worked in agile teams.,office,female,45-60,EU,1
A0067,back office clerk with 13 years of experience. ms office suite. travel booking. crm data entry. german and english correspondence. front desk reception. minute taking. calendar management. organised team events. responsible for onboarding new colleagues. driving licence class b.,office,female,45-60,non-EU,0
A0068,logistics coordinator with 2 years of experience. pallet handling. warehouse management system. basic first aid certificate. volunteer experience in local club.,logistics,male,18-29,non-EU,0
A0069,team assistant with 1 years of experience. travel booking. calendar management. attended internal trainings. worked in agile teams.,office,diverse,18-29,DE,1
A0070,bi analyst with 15 years of experience. statistical analysis. power bi dashboards. data cleaning pandas. etl workflows. excel modelling. sql reporting. team player with strong communication skills. basic first aid certificate. volunteer experience in local club. driving licence class b.,data,diverse,30-44,non-EU,1
A0071,reporting specialist with 3 years of experience. power bi dashboards. worked in agile teams. available at short notice. volunteer experience in local club.,data,male,18-29,non-EU,0
A0072,reporting specialist with 2 years of experience. power bi dashboards. organised team events. responsible for onboarding new colleagues.,data,male,45-60,DE,0
A0073,devops engineer with 15 years of experience. python development. ci cd pipelines. docker containers. sql databases. cloud deployment aws. team player with strong communication skills. available at short notice.,software,female,45-60,DE,1
A0074,reporting specialist with 11 years of experience. excel modelling. etl workflows. statistical analysis. a b testing. sql reporting. stakeholder presentations. available at short notice. driving licence class b. team player with strong communication skills.,data,male,45-60,EU,1
A0075,logistics coordinator with 11 years of experience. loading dock coordination. inventory cycle counts. warehouse management system. pallet handling. forklift licence. route planning. basic first aid certificate. responsible for onboarding new colleagues. team player with strong communication skills. volunteer experience in local club.,logistics,female,18-29,DE,1
A0076,software developer with 2 years of experience. unit testing. rest api design. organised team events. worked in agile teams. attended internal trainings.,software,female,18-29,non-EU,0
A0077,software developer with 5 years of experience. docker containers. ci cd pipelines. cloud deployment aws. unit testing. sql databases. python development. rest api design. worked in agile teams. available at short notice. attended internal trainings.,software,female,30-44,non-EU,1
A0078,team assistant with 4 years of experience. invoice processing. calendar management. front desk reception. german and english correspondence. travel booking. minute taking. crm data entry. organised team events. basic first aid certificate. worked in agile teams.,office,female,30-44,DE,1
A0079,data analyst with 12 years of experience. excel modelling. power bi dashboards. statistical analysis. data cleaning pandas. a b testing. stakeholder presentations. sql reporting. worked in agile teams. driving licence class b. fluent in german and english.,data,diverse,45-60,DE,1
A0080,reporting specialist with 2 years of experience. a b testing. basic first aid certificate. driving licence class b.,data,female,18-29,DE,0
A0081,logistics coordinator with 2 years of experience. loading dock coordination. fluent in german and english. attended internal trainings. volunteer experience in local club.,logistics,female,30-44,EU,0
A0082,data analyst with 3 years of experience. power bi dashboards. sql reporting. driving licence class b. responsible for onboarding new colleagues. fluent in german and english.,data,male,45-60,EU,0
A0083,bi analyst with 14 years of experience. etl workflows. stakeholder presentations. excel modelling. data cleaning pandas. statistical analysis. sql reporting. a b testing. organised team events. responsible for onboarding new colleagues. driving licence class b. team player with strong communication skills.,data,diverse,30-44,EU,0
A0084,warehouse operative with 3 years of experience. forklift licence. responsible for onboarding new colleagues. organised team events. basic first aid certificate. driving licence class b.,logistics,female,45-60,DE,0
A0085,logistics coordinator with 7 years of experience. warehouse management system. hazmat handling certificate. inventory cycle counts. shift supervision. loading dock coordination. worked in agile teams. team player with strong communication skills. available at short notice.,logistics,diverse,18-29,non-EU,1
A0086,devops engineer with 4 years of experience. code review practices. unit testing. docker containers. ci cd pipelines. rest api design. cloud deployment aws. python development. volunteer experience in local club. team player with strong communication skills.,software,male,45-60,EU,1
A0087,depot supervisor with 5 years of experience. warehouse management system. hazmat handling certificate. route planning. pallet handling. inventory cycle counts. forklift licence. fluent in german and english. available at short notice. basic first aid certificate.,logistics,diverse,30-44,EU,1
A0088,software developer with 13 years of experience. ci cd pipelines. cloud deployment aws. rest api design. sql databases. python development. unit testing. docker containers. volunteer experience in local club. responsible for onboarding new colleagues. driving licence class b. basic first aid certificate.,software,male,45-60,EU,1
A0089,software developer with 8 years of experience. python development. ci cd pipelines. sql databases. rest api design. unit testing. attended internal trainings. organised team events. responsible for onboarding new colleagues.,software,diverse,45-60,EU,1
A0090,backend engineer with 1 years of experience. unit testing. basic first aid certificate. available at short notice.,software,male,18-29,DE,1
A0091,logistics coordinator with 6 years of experience. shift supervision. route planning. forklift licence. warehouse management system. loading dock coordination. available at short notice. team player with strong communication skills. worked in agile teams.,logistics,female,18-29,non-EU,1
A0092,office administrator with 0 years of experience. front desk reception. minute taking. available at short notice. attended internal trainings. responsible for onboarding new colleagues. basic first aid certificate.,office,diverse,30-44,EU,0
A0093,team assistant with 4 years of experience. calendar management. front desk reception. invoice processing. travel booking. minute taking. worked in agile teams. attended internal trainings. organised team events.,office,male,45-60,non-EU,1
A0094,warehouse operative with 3 years of experience. team player with strong communication skills. available at short notice. volunteer experience in local club.,logistics,female,18-29,non-EU,0
A0095,office administrator with 1 years of experience. invoice processing. front desk reception. volunteer experience in local club. driving licence class b. attended internal trainings.,office,female,30-44,non-EU,0
A0096,data analyst with 8 years of experience. power bi dashboards. statistical analysis. stakeholder presentations. excel modelling. data cleaning pandas. fluent in german and english. organised team events. available at short notice. worked in agile teams.,data,male,30-44,EU,1
A0097,depot supervisor with 1 years of experience. fluent in german and english. basic first aid certificate.,logistics,male,45-60,EU,0
A0098,back office clerk with 3 years of experience. available at short notice. driving licence class b. attended internal trainings.,office,diverse,18-29,DE,0
A0099,bi analyst with 0 years of experience. stakeholder presentations. fluent in german and english. available at short notice.,data,female,18-29,non-EU,0
A0100,devops engineer with 5 years of experience. sql databases. python development. cloud deployment aws. code review practices. unit testing. ci cd pipelines. fluent in german and english. volunteer experience in local club.,software,female,45-60,non-EU,1
A0101,depot supervisor with 11 years of experience. loading dock coordination. inventory cycle counts. shift supervision. forklift licence. route planning. pallet handling. team player with strong communication skills. fluent in german and english. organised team events. responsible for onboarding new colleagues.,logistics,male,18-29,non-EU,1
A0102,devops engineer with 14 years of experience. rest api design. code review practices. ci cd pipelines. sql databases. python development. cloud deployment aws. unit testing. organised team events. worked in agile teams. team player with strong communication skills.,software,female,30-44,DE,1
A0103,office administrator with 13 years of experience. invoice processing. calendar management. ms office suite. front desk reception. german and english correspondence. minute taking. travel booking. team player with strong communication skills. organised team events. worked in agile teams.,office,female,30-44,EU,1
A0104,reporting specialist with 3 years of experience. excel modelling. responsible for onboarding new colleagues. available at short notice. worked in agile teams.,data,female,30-44,non-EU,0
A0105,warehouse operative with 2 years of experience. hazmat handling certificate. forklift licence. fluent in german and english. volunteer experience in local club. basic first aid certificate.,logistics,female,18-29,non-EU,0
A0106,software developer with 3 years of experience. docker containers. unit testing. fluent in german and english. basic first aid certificate. team player with strong communication skills. available at short notice.,software,male,30-44,non-EU,0
A0107,logistics coordinator with 10 years of experience. shift supervision. hazmat handling certificate. pallet handling. loading dock coordination. inventory cycle counts. route planning. attended internal trainings. organised team events. basic first aid certificate. team player with strong communication skills.,logistics,female,30-44,DE,1
A0108,team assistant with 11 years of experience. ms office suite. minute taking. calendar management. german and english correspondence. crm data entry. travel booking. available at short notice. team player with strong communication skills.,office,female,45-60,EU,1
A0109,depot supervisor with 11 years of experience. pallet handling. route planning. hazmat handling certificate. inventory cycle counts. warehouse management system. forklift licence. attended internal trainings. worked in agile teams. responsible for onboarding new colleagues. available at short notice.,logistics,diverse,18-29,DE,1
A0110,logistics coordinator with 1 years of experience. inventory cycle counts. driving licence class b. volunteer experience in local club.,logistics,male,45-60,non-EU,0
A0111,logistics coordinator with 7 years of experience. shift supervision. warehouse management system. hazmat handling certificate. route planning. loading dock coordination. organised team events. team player with strong communication skills. volunteer experience in local club. fluent in german and english.,logistics,female,45-60,non-EU,1
A0112,office administrator with 1 years of experience. crm data entry. fluent in german and english. team player with strong communication skills. responsible for onboarding new colleagues. attended internal trainings.,office,diverse,45-60,DE,0
A0113,team assistant with 10 years of experience. crm data entry. front desk reception. german and english correspondence. travel booking. invoice processing. minute taking. calendar management. available at short notice. attended internal trainings. organised team events. worked in agile teams.,office,male,18-29,DE,1
A0114,data analyst with 1 years of experience. statistical analysis. a b testing. basic first aid certificate. responsible for onboarding new colleagues.,data,diverse,30-44,DE,1
A0115,data analyst with 4 years of experience. sql reporting. data cleaning pandas. power bi dashboards. stakeholder presentations. etl workflows. excel modelling. fluent in german and english. basic first aid certificate. team player with strong communication skills.,data,male,18-29,DE,1
A0116,reporting specialist with 1 years of experience. stakeholder presentations. sql reporting. basic first aid certificate. worked in agile teams. fluent in german and english. volunteer experience in local club.,data,male,45-60,DE,0
A0117,backend engineer with 7 years of experience. code review practices. sql databases. rest api design. docker containers. unit testing. python development. fluent in german and english. available at short notice. worked in agile teams.,software,diverse,45-60,non-EU,1
A0118,backend engineer with 5 years of experience. unit testing. sql databases. docker containers. python development. rest api design. cloud deployment aws. code review practices. team player with strong communication skills. responsible for onboarding new colleagues.,software,diverse,18-29,non-EU,1
A0119,devops engineer with 14 years of experience. cloud deployment aws. rest api design. python development. docker containers. unit testing. volunteer experience in local club. team player with strong communication skills. organised team events.,software,male,30-44,EU,1
A0120,team assistant with 0 years of experience. team player with strong communication skills. volunteer experience in local club. driving licence class b.,office,diverse,45-60,non-EU,0
A0121,devops engineer with 3 years of experience. worked in agile teams. volunteer experience in local club. team player with strong communication skills. responsible for onboarding new colleagues.,software,diverse,30-44,EU,0
A0122,logistics coordinator with 12 years of experience. hazmat handling certificate. warehouse management system. loading dock coordination. forklift licence. route planning. shift supervision. volunteer experience in local club. driving licence class b. basic first aid certificate. available at short notice.,logistics,female,18-29,EU,1
A0123,backend engineer with 7 years of experience. ci cd pipelines. rest api design. code review practices. python development. cloud deployment aws. unit testing. organised team events. responsible for onboarding new colleagues. team player with strong communication skills. volunteer experience in local club.,software,female,30-44,DE,1
A0124,team assistant with 8 years of experience. travel booking. calendar management. front desk reception. ms office suite. crm data entry. responsible for onboarding new colleagues. available at short notice. worked in agile teams. volunteer experience in local club.,office,female,18-29,non-EU,1
A0125,warehouse operative with 15 years of experience. warehouse management system. inventory cycle counts. pallet handling. hazmat handling certificate. forklift licence. loading dock coordination. shift supervision. team player with strong communication skills. attended internal trainings.,logistics,female,18-29,EU,1
A0126,devops engineer with 4 years of experience. docker containers. ci cd pipelines. python development. code review practices. unit testing. sql databases. cloud deployment aws. organised team events. worked in agile teams.,software,diverse,45-60,EU,1
A0127,bi analyst with 15 years of experience. etl workflows. data cleaning pandas. sql reporting. a b testing. statistical analysis. excel modelling. volunteer experience in local club. fluent in german and english. team player with strong communication skills.,data,diverse,30-44,EU,1
A0128,software developer with 1 years of experience. available at short notice. organised team events.,software,female,45-60,EU,1
A0129,back office clerk with 4 years of experience. german and english correspondence. ms office suite. minute taking. travel booking. invoice processing. crm data entry. front desk reception. responsible for onboarding new colleagues. fluent in german and english.,office,diverse,45-60,EU,1
A0130,devops engineer with 6 years of experience. docker containers. ci cd pipelines. cloud deployment aws. unit testing. rest api design. code review practices. available at short notice. basic first aid certificate.,software,male,18-29,DE,1
A0131,data analyst with 12 years of experience. etl workflows. data cleaning pandas. stakeholder presentations. a b testing. excel modelling. sql reporting. attended internal trainings. driving licence class b. volunteer experience in local club.,data,male,30-44,DE,0
A0132,reporting specialist with 2 years of experience. etl workflows. excel modelling. organised team events. driving licence class b. attended internal trainings. available at short notice.,data,male,18-29,EU,0
A0133,devops engineer with 10 years of experience. ci cd pipelines. unit testing. code review practices. sql databases. python development. fluent in german and english. available at short notice. driving licence class b.,software,diverse,18-29,EU,1
A0134,software developer with 0 years of experience. worked in agile teams. responsible for onboarding new colleagues. driving licence class b.,software,female,30-44,DE,1
A0135,devops engineer with 9 years of experience. unit testing. code review practices. docker containers. python development. cloud deployment aws. sql databases. rest api design. attended internal trainings. fluent in german and english.,software,male,45-60,non-EU,1
A0136,data analyst with 7 years of experience. statistical analysis. stakeholder presentations. sql reporting. a b testing. etl workflows. data cleaning pandas. power bi dashboards. responsible for onboarding new colleagues. basic first aid certificate.,data,diverse,45-60,non-EU,1
A0137,office administrator with 2 years of experience. minute taking. calendar management. basic first aid certificate. team player with strong communication skills. attended internal trainings.,office,male,30-44,non-EU,0
A0138,data analyst with 0 years of experience. data cleaning pandas. excel modelling. fluent in german and english. worked in agile teams. organised team events. basic first aid certificate.,data,diverse,18-29,EU,0
A0139,team assistant with 3 years of experience. front desk reception. worked in agile teams. organised team events.,office,male,18-29,DE,0
A0140,back office clerk with 9 years of experience. travel booking. ms office suite. calendar management. crm data entry. minute taking. invoice processing. front desk reception. fluent in german and english. basic first aid certificate.,office,female,45-60,DE,0
A0141,team assistant with 3 years of experience. minute taking. front desk reception. organised team events. volunteer experience in local club. attended internal trainings.,office,diverse,45-60,EU,0
A0142,depot supervisor with 10 years of experience. loading dock coordination. pallet handling. forklift licence. warehouse management system. route planning. shift supervision. worked in agile teams. volunteer experience in local club. driving licence class b.,logistics,diverse,18-29,non-EU,1
A0143,warehouse operative with 0 years of experience. basic first aid certificate. attended internal trainings. worked in agile teams.,logistics,female,45-60,EU,1
A0144,software developer with 4 years of experience. ci cd pipelines. sql databases. code review practices. unit testing. rest api design. python development. cloud deployment aws. driving licence class b. organised team events. responsible for onboarding new colleagues.,software,diverse,18-29,DE,0
A0145,depot supervisor with 1 years of experience. inventory cycle counts. hazmat handling certificate. basic first aid certificate. available at short notice. organised team events. team player with strong communication skills.,logistics,male,30-44,EU,0
A0146,reporting specialist with 12 years of experience. etl workflows. excel modelling. sql reporting. a b testing. statistical analysis. power bi dashboards. data cleaning pandas. driving licence class b. available at short notice. organised team events.,data,female,18-29,non-EU,1
A0147,back office clerk with 11 years of experience. ms office suite. front desk reception. travel booking. invoice processing. crm data entry. german and english correspondence. calendar management. basic first aid certificate. volunteer experience in local club. responsible for onboarding new colleagues. fluent in german and english.,office,male,45-60,EU,1
A0148,reporting specialist with 2 years of experience. a b testing. fluent in german and english. basic first aid certificate.,data,female,45-60,EU,0
A0149,depot supervisor with 10 years of experience. route planning. pallet handling. forklift licence. shift supervision. hazmat handling certificate. inventory cycle counts. basic first aid certificate. responsible for onboarding new colleagues.,logistics,diverse,30-44,EU,1
A0150,warehouse operative with 4 years of experience. forklift licence. pallet handling. route planning. shift supervision. inventory cycle counts. hazmat handling certificate. warehouse management system. worked in agile teams. organised team events. fluent in german and english. available at short notice.,logistics,diverse,18-29,DE,1
A0151,bi analyst with 1 years of experience. statistical analysis. volunteer experience in local club. responsible for onboarding new colleagues. available at short notice. team player with strong communication skills.,data,diverse,18-29,non-EU,0
A0152,bi analyst with 3 years of experience. power bi dashboards. data cleaning pandas. available at short notice. team player with strong communication skills. basic first aid certificate.,data,diverse,18-29,EU,0
A0153,devops engineer with 1 years of experience. available at short notice. volunteer experience in local club. basic first aid certificate. fluent in german and english.,software,male,30-44,EU,0
A0154,office administrator with 2 years of experience. german and english correspondence. invoice processing. available at short notice. team player with strong communication skills. organised team events.,office,male,30-44,DE,0
A0155,bi analyst with 0 years of experience. power bi dashboards. etl workflows. driving licence class b. organised team events. worked in agile teams. fluent in german and english.,data,diverse,45-60,non-EU,0
A0156,reporting specialist with 0 years of experience. excel modelling. team player with strong communication skills. organised team events. available at short notice. volunteer experience in local club.,data,male,18-29,non-EU,0
A0157,backend engineer with 2 years of experience. driving licence class b. team player with strong communication skills. attended internal trainings. volunteer experience in local club.,software,diverse,45-60,DE,0
A0158,backend engineer with 10 years of experience. ci cd pipelines. rest api design. unit testing. cloud deployment aws. python development. docker containers. volunteer experience in local club. team player with strong communication skills. worked in agile teams. available at short notice.,software,diverse,30-44,DE,1
A0159,data analyst with 2 years of experience. available at short notice. basic first aid certificate. attended internal trainings.,data,diverse,18-29,DE,0
A0160,data analyst with 3 years of experience. excel modelling. sql reporting. responsible for onboarding new colleagues. basic first aid certificate. volunteer experience in local club.,data,female,30-44,non-EU,0
A0161,devops engineer with 3 years of experience. ci cd pipelines. responsible for onboarding new colleagues. driving licence class b. fluent in german and english. attended internal trainings.,software,diverse,18-29,DE,0
A0162,team assistant with 2 years of experience. front desk reception. crm data entry. responsible for onboarding new colleagues. attended internal trainings. driving licence class b. volunteer experience in local club.,office,female,18-29,DE,1
A0163,data analyst with 2 years of experience. sql reporting. data cleaning pandas. volunteer experience in local club. fluent in german and english. attended internal trainings.,data,diverse,45-60,non-EU,0
