checking_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status,other_debtors,residence_since,property,age,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
no_account,36,existing_paid,other,11921,lt_100_DM,gte_7yrs,1,male_single,guarantor,3,real_estate,43,none,rent,2,unskilled_r,1,yes,no,0
lt_0_DM,6,existing_paid,radio_tv,7358,lt_100_DM,gte_7yrs,1,male_married,none,4,unknown,43,none,for_free,1,skilled,1,none,yes,0
0_200_DM,18,existing_paid,car_used,8943,lt_100_DM,1_4yrs,4,male_single,none,4,savings,19,none,for_free,2,management,1,yes,yes,0
0_200_DM,6,existing_paid,education,3191,lt_100_DM,lt_1yr,3,male_single,none,4,car,46,none,own,2,unskilled_r,1,none,yes,1
no_account,12,all_paid,business,3965,lt_100_DM,lt_1yr,1,male_single,none,3,car,46,none,own,1,unskilled_r,1,none,no,1
gte_200_DM,48,paid_duly,education,1902,100_500_DM,1_4yrs,1,male_divorced,none,4,car,18,none,own,1,unskilled_r,1,none,yes,1
gte_200_DM,24,paid_duly,business,10414,unknown,1_4yrs,4,male_single,none,1,real_estate,23,none,own,4,skilled,2,none,yes,1
lt_0_DM,6,critical,education,11319,lt_100_DM,lt_1yr,2,male_married,none,4,car,36,none,for_free,4,skilled,1,yes,yes,0
gte_200_DM,18,all_paid,furniture,10887,lt_100_DM,4_7yrs,1,male_single,none,4,car,50,bank,rent,2,skilled,1,none,yes,1
no_account,36,existing_paid,car_new,17056,500_1000_DM,gte_7yrs,2,male_single,none,4,unknown,42,none,own,2,unskilled_r,1,none,yes,0
no_account,48,paid_duly,other,14568,lt_100_DM,1_4yrs,1,male_single,none,2,unknown,18,none,own,3,management,1,none,yes,0
no_account,36,paid_duly,car_used,11632,gte_1000_DM,4_7yrs,1,male_single,none,2,unknown,18,none,own,1,unemployed,1,none,yes,1
0_200_DM,60,existing_paid,furniture,7696,lt_100_DM,1_4yrs,4,female_divorced,none,1,car,37,none,own,2,unskilled_r,1,yes,yes,0
no_account,12,paid_duly,business,3371,gte_1000_DM,gte_7yrs,2,male_single,none,4,savings,37,none,own,3,unskilled_r,1,yes,yes,1
no_account,12,existing_paid,car_new,671,lt_100_DM,gte_7yrs,3,male_single,none,3,car,18,none,rent,1,skilled,1,yes,yes,1
0_200_DM,6,existing_paid,car_new,1789,500_1000_DM,gte_7yrs,2,male_single,none,4,real_estate,27,bank,for_free,3,skilled,1,none,no,1
0_200_DM,24,all_paid,other,9345,500_1000_DM,gte_7yrs,2,male_single,guarantor,1,savings,18,none,own,3,management,1,yes,yes,0
gte_200_DM,36,paid_duly,radio_tv,8665,lt_100_DM,1_4yrs,3,male_married,none,3,real_estate,20,none,own,3,unskilled_r,1,yes,yes,0
lt_0_DM,24,paid_duly,furniture,7032,lt_100_DM,gte_7yrs,1,male_married,none,1,car,18,bank,own,3,skilled,2,yes,yes,0
lt_0_DM,60,existing_paid,other,14879,500_1000_DM,4_7yrs,3,male_single,none,4,real_estate,30,stores,own,3,skilled,1,none,yes,0
no_account,24,existing_paid,car_new,16686,lt_100_DM,4_7yrs,4,male_single,none,1,car,41,bank,own,2,skilled,2,none,yes,0
0_200_DM,36,delayed,furniture,10193,unknown,1_4yrs,3,male_married,none,2,car,43,none,own,3,unskilled_r,1,yes,yes,0
no_account,6,delayed,radio_tv,13018,lt_100_DM,gte_7yrs,3,male_married,none,4,real_estate,49,none,own,3,skilled,1,yes,yes,1
lt_0_DM,18,paid_duly,education,13900,lt_100_DM,1_4yrs,2,male_single,none,2,car,55,none,rent,2,skilled,1,yes,yes,1
no_account,12,existing_paid,radio_tv,5987,100_500_DM,gte_7yrs,3,male_single,none,4,car,19,none,own,1,skilled,1,yes,yes,1
no_account,12,paid_duly,car_used,5759,lt_100_DM,gte_7yrs,3,male_single,none,1,real_estate,48,none,own,2,management,2,yes,yes,1
no_account,18,paid_duly,furniture,8294,lt_100_DM,lt_1yr,4,male_married,none,2,car,21,none,rent,2,skilled,1,yes,yes,1
0_200_DM,24,existing_paid,radio_tv,12969,lt_100_DM,gte_7yrs,2,male_single,none,4,unknown,57,stores,own,1,skilled,2,none,yes,0
no_account,60,paid_duly,radio_tv,7143,100_500_DM,gte_7yrs,2,female_divorced,none,4,savings,33,none,own,2,management,1,none,yes,0
no_account,24,paid_duly,radio_tv,15773,100_500_DM,lt_1yr,2,male_married,none,3,car,30,none,own,2,unskilled_r,1,none,yes,1
lt_0_DM,48,critical,radio_tv,7001,lt_100_DM,gte_7yrs,4,male_single,co_applicant,2,savings,24,none,own,1,skilled,1,yes,yes,0
gte_200_DM,12,paid_duly,radio_tv,4918,lt_100_DM,gte_7yrs,4,male_married,none,3,real_estate,18,none,own,4,unskilled_r,2,none,yes,1
gte_200_DM,36,delayed,car_new,9509,lt_100_DM,gte_7yrs,1,male_single,none,2,car,30,none,rent,3,skilled,1,none,yes,0
0_200_DM,24,all_paid,car_new,15924,100_500_DM,4_7yrs,2,male_divorced,none,2,savings,44,none,rent,1,skilled,1,yes,yes,0
lt_0_DM,60,existing_paid,education,14809,lt_100_DM,1_4yrs,3,male_single,none,3,savings,26,none,own,2,unskilled_r,2,yes,yes,0
no_account,6,existing_paid,other,10032,lt_100_DM,4_7yrs,2,male_single,none,4,savings,21,none,own,3,management,1,none,yes,1
no_account,36,paid_duly,radio_tv,15799,lt_100_DM,4_7yrs,2,male_single,none,2,real_estate,43,none,for_free,4,management,1,yes,yes,1
no_account,60,existing_paid,radio_tv,9395,lt_100_DM,lt_1yr,3,male_married,none,1,real_estate,34,none,own,4,skilled,1,none,yes,0
no_account,24,paid_duly,radio_tv,6206,unknown,unemployed,4,male_single,none,3,car,33,none,rent,4,skilled,1,none,yes,1
no_account,18,paid_duly,car_used,266,lt_100_DM,gte_7yrs,2,male_single,none,4,car,28,none,own,2,skilled,1,yes,yes,1
lt_0_DM,18,paid_duly,radio_tv,4497,unknown,4_7yrs,4,male_married,none,2,car,36,bank,own,3,skilled,1,none,yes,1
lt_0_DM,12,paid_duly,furniture,2326,lt_100_DM,unemployed,3,male_single,co_applicant,3,unknown,32,stores,own,2,unskilled_nr,1,none,yes,1
gte_200_DM,36,paid_duly,business,3972,lt_100_DM,1_4yrs,3,male_single,none,2,car,27,none,own,2,skilled,1,none,yes,1
no_account,36,paid_duly,radio_tv,5189,100_500_DM,1_4yrs,2,male_married,none,1,savings,24,none,rent,4,skilled,1,yes,yes,1
no_account,48,existing_paid,radio_tv,14281,unknown,1_4yrs,4,male_married,none,3,car,40,bank,rent,3,skilled,1,none,yes,0
gte_200_DM,24,existing_paid,education,8330,unknown,lt_1yr,1,male_single,none,2,car,29,none,for_free,1,skilled,1,none,yes,0
lt_0_DM,6,delayed,radio_tv,9042,unknown,gte_7yrs,1,male_divorced,none,3,savings,24,none,own,4,skilled,1,none,yes,0
0_200_DM,48,existing_paid,car_new,6218,gte_1000_DM,lt_1yr,2,male_single,none,1,savings,31,none,own,1,skilled,1,none,yes,0
gte_200_DM,36,delayed,car_new,10156,lt_100_DM,4_7yrs,4,male_divorced,none,1,car,22,bank,for_free,1,skilled,1,none,yes,0
gte_200_DM,24,all_paid,car_used,5823,100_500_DM,lt_1yr,3,female_divorced,none,3,unknown,25,none,own,1,skilled,1,none,yes,0
0_200_DM,24,critical,radio_tv,8781,lt_100_DM,4_7yrs,2,male_married,co_applicant,4,real_estate,26,none,rent,2,management,1,none,yes,0
lt_0_DM,36,paid_duly,radio_tv,3609,unknown,4_7yrs,1,male_married,none,1,unknown,58,none,for_free,4,skilled,1,yes,yes,0
lt_0_DM,12,existing_paid,other,10087,unknown,4_7yrs,4,male_married,none,1,savings,40,none,own,3,skilled,1,none,yes,0
no_account,60,existing_paid,education,7078,lt_100_DM,gte_7yrs,2,male_single,co_applicant,4,car,53,none,own,3,skilled,1,yes,yes,0
lt_0_DM,24,delayed,radio_tv,3998,unknown,1_4yrs,2,male_single,none,3,car,36,none,own,2,skilled,1,none,yes,0
no_account,12,paid_duly,radio_tv,14028,unknown,lt_1yr,2,male_single,none,4,savings,45,none,own,1,skilled,1,yes,yes,1
0_200_DM,48,paid_duly,other,3656,lt_100_DM,lt_1yr,4,male_single,guarantor,1,savings,30,bank,own,3,skilled,2,yes,yes,0
no_account,12,delayed,furniture,17140,500_1000_DM,4_7yrs,1,male_single,none,1,savings,36,none,own,3,skilled,2,none,yes,1
lt_0_DM,48,paid_duly,radio_tv,6727,lt_100_DM,lt_1yr,4,male_single,none,2,real_estate,42,none,own,4,skilled,1,none,yes,0
0_200_DM,48,existing_paid,car_new,4116,100_500_DM,lt_1yr,2,male_single,none,2,savings,22,none,own,3,skilled,1,none,yes,0
0_200_DM,12,all_paid,education,640,unknown,lt_1yr,1,female_divorced,co_applicant,3,car,55,none,for_free,4,skilled,1,none,yes,1
0_200_DM,18,paid_duly,other,2787,500_1000_DM,1_4yrs,3,male_married,none,4,car,27,none,for_free,1,management,2,yes,yes,1
lt_0_DM,48,existing_paid,car_new,13954,unknown,1_4yrs,2,male_single,guarantor,1,savings,19,none,own,2,unskilled_r,1,yes,yes,0
no_account,60,paid_duly,radio_tv,14639,lt_100_DM,lt_1yr,3,male_single,none,2,car,38,none,own,2,skilled,1,none,yes,1
gte_200_DM,36,paid_duly,car_new,5310,lt_100_DM,4_7yrs,4,male_single,none,1,car,34,bank,own,1,skilled,1,none,yes,0
gte_200_DM,24,existing_paid,radio_tv,5123,gte_1000_DM,gte_7yrs,1,male_single,none,2,savings,28,none,own,3,skilled,1,yes,yes,0
gte_200_DM,24,paid_duly,radio_tv,4853,lt_100_DM,4_7yrs,2,male_single,none,2,car,33,none,own,2,skilled,1,none,yes,1
0_200_DM,6,paid_duly,car_used,15534,lt_100_DM,unemployed,1,male_married,none,1,real_estate,57,none,own,2,unskilled_r,1,none,yes,1
0_200_DM,48,paid_duly,business,13581,100_500_DM,4_7yrs,2,female_divorced,none,4,savings,33,none,own,4,skilled,1,none,yes,0
gte_200_DM,48,delayed,car_used,14476,lt_100_DM,lt_1yr,4,male_married,none,3,car,53,none,own,3,skilled,1,yes,yes,0
0_200_DM,36,all_paid,car_new,4817,lt_100_DM,4_7yrs,2,male_single,none,4,car,41,none,rent,4,skilled,1,none,yes,0
lt_0_DM,6,paid_duly,car_new,14706,lt_100_DM,1_4yrs,1,male_divorced,none,3,real_estate,39,none,own,2,unskilled_nr,1,none,no,1
0_200_DM,6,critical,education,10873,lt_100_DM,1_4yrs,2,male_single,none,3,savings,30,none,own,1,skilled,1,yes,yes,0
lt_0_DM,12,paid_duly,furniture,16799,lt_100_DM,1_4yrs,4,male_married,none,2,car,42,none,own,2,unemployed,1,yes,yes,1
no_account,6,paid_duly,education,14836,100_500_DM,lt_1yr,2,male_married,none,1,car,31,stores,for_free,1,unskilled_r,1,none,yes,1
gte_200_DM,36,paid_duly,car_used,4218,lt_100_DM,1_4yrs,2,male_divorced,none,1,savings,53,none,own,2,skilled,1,yes,yes,1
0_200_DM,60,paid_duly,radio_tv,1181,lt_100_DM,lt_1yr,3,female_divorced,none,2,unknown,22,none,for_free,2,management,1,none,yes,0
no_account,12,all_paid,car_new,8769,lt_100_DM,4_7yrs,1,male_married,none,1,real_estate,24,bank,own,3,skilled,1,none,yes,1
no_account,12,existing_paid,radio_tv,5726,lt_100_DM,gte_7yrs,3,male_single,none,1,savings,29,bank,for_free,2,skilled,1,none,yes,1
no_account,12,paid_duly,car_used,4569,lt_100_DM,gte_7yrs,4,male_married,none,2,savings,26,none,own,3,skilled,2,none,yes,1
no_account,6,paid_duly,car_new,9471,100_500_DM,gte_7yrs,3,male_single,none,2,real_estate,40,none,own,1,skilled,1,none,yes,1
gte_200_DM,36,delayed,car_new,17877,unknown,gte_7yrs,2,male_married,none,3,car,33,none,rent,3,unskilled_nr,1,yes,yes,0
0_200_DM,18,paid_duly,car_used,1510,lt_100_DM,1_4yrs,3,male_single,none,1,car,37,none,own,3,skilled,1,none,yes,1
lt_0_DM,18,paid_duly,radio_tv,13307,lt_100_DM,4_7yrs,1,female_divorced,none,2,real_estate,50,none,for_free,4,management,2,yes,yes,1
0_200_DM,36,critical,radio_tv,6353,100_500_DM,4_7yrs,2,male_single,none,4,savings,36,none,own,1,skilled,1,none,yes,0
no_account,48,critical,other,14312,lt_100_DM,gte_7yrs,4,male_single,none,1,car,27,none,own,3,skilled,2,yes,yes,0
no_account,6,existing_paid,business,16267,unknown,gte_7yrs,4,female_divorced,none,4,savings,38,none,rent,3,skilled,1,none,yes,1
no_account,12,paid_duly,radio_tv,4925,lt_100_DM,lt_1yr,3,male_single,none,2,unknown,55,none,rent,3,skilled,1,none,no,1
0_200_DM,48,delayed,car_new,1411,500_1000_DM,4_7yrs,3,male_married,co_applicant,1,savings,46,bank,own,2,management,1,none,yes,0
no_account,6,existing_paid,other,7035,lt_100_DM,1_4yrs,2,male_married,guarantor,2,real_estate,28,none,own,1,skilled,1,yes,yes,1
no_account,6,paid_duly,furniture,16776,lt_100_DM,4_7yrs,3,male_single,none,2,car,31,none,own,1,skilled,1,none,yes,1
gte_200_DM,48,existing_paid,furniture,1058,100_500_DM,gte_7yrs,4,male_married,guarantor,1,unknown,34,none,for_free,2,skilled,1,none,yes,1
0_200_DM,12,existing_paid,car_used,10315,unknown,1_4yrs,4,male_married,none,2,real_estate,49,none,for_free,3,management,1,yes,yes,0
0_200_DM,12,existing_paid,education,942,lt_100_DM,gte_7yrs,3,female_divorced,none,3,savings,30,none,own,1,skilled,1,yes,yes,1
no_account,60,delayed,education,2645,lt_100_DM,4_7yrs,2,male_single,none,4,savings,25,none,own,1,unskilled_r,1,none,yes,1
0_200_DM,18,paid_duly,radio_tv,16402,lt_100_DM,unemployed,3,male_single,none,1,car,42,none,own,2,skilled,1,none,yes,1
lt_0_DM,24,existing_paid,car_new,10386,unknown,gte_7yrs,1,male_divorced,none,2,real_estate,45,none,own,1,skilled,2,none,yes,0
lt_0_DM,48,all_paid,radio_tv,13347,lt_100_DM,1_4yrs,4,male_married,none,3,unknown,71,none,own,3,unskilled_nr,2,yes,yes,0
no_account,6,critical,radio_tv,13242,lt_100_DM,lt_1yr,4,male_single,none,1,real_estate,18,none,own,3,unemployed,1,none,yes,1
lt_0_DM,12,paid_duly,furniture,564,500_1000_DM,1_4yrs,3,male_single,none,4,real_estate,35,none,own,2,skilled,2,yes,yes,1
no_account,36,paid_duly,furniture,6127,500_1000_DM,lt_1yr,1,male_single,none,1,savings,38,none,own,1,unskilled_r,1,yes,yes,0
no_account,48,existing_paid,car_new,16959,lt_100_DM,lt_1yr,1,male_single,none,3,car,36,bank,own,2,skilled,2,yes,yes,0
lt_0_DM,48,paid_duly,car_used,3590,lt_100_DM,gte_7yrs,2,male_single,none,2,real_estate,53,stores,own,1,skilled,1,none,yes,0
0_200_DM,48,paid_duly,other,4206,500_1000_DM,4_7yrs,1,male_single,none,3,savings,54,none,own,4,skilled,1,yes,yes,0
lt_0_DM,60,paid_duly,car_new,3685,lt_100_DM,gte_7yrs,4,male_single,none,4,real_estate,67,stores,own,4,skilled,2,yes,yes,0
gte_200_DM,48,existing_paid,car_new,16723,lt_100_DM,1_4yrs,3,male_married,none,4,car,18,none,own,3,unskilled_r,1,yes,yes,0
no_account,24,paid_duly,radio_tv,12206,100_500_DM,4_7yrs,1,male_married,none,4,unknown,29,bank,own,3,skilled,1,yes,yes,0
no_account,48,paid_duly,car_used,14150,lt_100_DM,lt_1yr,2,male_divorced,none,1,real_estate,35,bank,own,2,unskilled_r,1,yes,yes,1
no_account,24,paid_duly,radio_tv,499,100_500_DM,4_7yrs,1,female_divorced,none,3,car,48,none,own,4,skilled,2,none,yes,1
lt_0_DM,24,existing_paid,car_used,3078,gte_1000_DM,gte_7yrs,4,male_single,none,1,savings,29,stores,rent,2,skilled,1,none,yes,0
no_account,6,paid_duly,car_new,4165,lt_100_DM,unemployed,1,male_single,co_applicant,1,car,18,none,rent,2,skilled,2,none,yes,1
lt_0_DM,12,paid_duly,car_used,7151,lt_100_DM,1_4yrs,1,male_single,guarantor,4,unknown,48,bank,own,3,unskilled_r,1,yes,yes,1
0_200_DM,24,existing_paid,furniture,13996,lt_100_DM,1_4yrs,4,male_single,none,1,car,63,bank,rent,2,skilled,1,yes,yes,0
0_200_DM,36,existing_paid,other,10128,lt_100_DM,gte_7yrs,2,male_married,none,4,car,39,bank,rent,1,skilled,1,yes,yes,0
0_200_DM,24,paid_duly,radio_tv,16763,unknown,1_4yrs,2,female_divorced,none,1,real_estate,47,none,rent,3,management,1,yes,yes,0
lt_0_DM,48,paid_duly,furniture,4448,gte_1000_DM,gte_7yrs,3,male_single,none,3,savings,45,none,for_free,4,unskilled_r,1,none,yes,0
lt_0_DM,36,paid_duly,radio_tv,1120,lt_100_DM,1_4yrs,1,male_single,none,3,savings,26,none,own,1,skilled,1,yes,yes,0
0_200_DM,12,paid_duly,radio_tv,12221,500_1000_DM,lt_1yr,1,male_single,none,1,car,28,none,for_free,4,skilled,2,yes,yes,1
no_account,36,paid_duly,car_new,17447,lt_100_DM,lt_1yr,1,male_married,none,4,savings,20,none,for_free,4,skilled,1,yes,yes,1
no_account,18,paid_duly,education,16645,500_1000_DM,gte_7yrs,2,male_married,none,3,unknown,40,none,own,4,skilled,1,none,yes,1
no_account,60,paid_duly,business,7942,100_500_DM,1_4yrs,3,male_single,none,4,real_estate,20,none,own,4,skilled,1,none,yes,0
lt_0_DM,6,existing_paid,car_new,13793,lt_100_DM,lt_1yr,2,male_single,none,4,car,18,none,own,2,skilled,1,none,yes,0
gte_200_DM,48,critical,car_used,4836,lt_100_DM,unemployed,3,male_single,none,2,car,36,bank,for_free,3,unskilled_r,1,none,yes,1
0_200_DM,18,paid_duly,furniture,17296,unknown,1_4yrs,2,male_married,none,2,car,46,none,own,1,skilled,1,none,yes,1
no_account,36,paid_duly,car_new,15443,gte_1000_DM,gte_7yrs,3,male_single,none,4,savings,28,stores,rent,2,skilled,1,yes,yes,1
no_account,12,paid_duly,business,17730,lt_100_DM,gte_7yrs,1,male_married,none,4,savings,43,none,for_free,2,unskilled_r,1,none,yes,1
gte_200_DM,18,paid_duly,radio_tv,16510,lt_100_DM,unemployed,2,male_single,none,3,real_estate,43,stores,own,3,skilled,1,none,yes,1
